repo_name,owner_name,full_name,owner_type,description,topics,created_at,size_kb,default_branch,default_branch_commit_sha,forks,stargazers,subscribers,license_key,license_name,license_spdx_id,license_url,language,c_ratio,cpp_ratio,makefile_ratio,cmake_ratio,starlark_ratio,meson_ratio,ninja_ratio,qmake_ratio,c_cpp_ratio,build_lang_ratio,total_lang_kb,html_url,git_url,ssh_url,clone_url,zip_default_branch_url,homepage
tensorflow,tensorflow,tensorflow/tensorflow,Organization,An Open Source Machine Learning Framework for Everyone,"deep-learning,deep-neural-networks,distributed,machine-learning,ml,neural-network,python,tensorflow",2015-11-07T01:19:20Z,1115504,master,663bc62823ff9477e65bddc8c957fb0f1b61eb59,74371,186996,7547,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,C++,0.007178674399848559,0.5625754320991072,1.5845192921851513e-05,0.0008272304602775689,0.04083055032059281,0.0,0.0,0.0,0.5697541064989557,0.041673625973792226,175341.5263671875,https://github.com/tensorflow/tensorflow,git://github.com/tensorflow/tensorflow.git,git@github.com:tensorflow/tensorflow.git,https://github.com/tensorflow/tensorflow.git,https://github.com/tensorflow/tensorflow/archive/refs/heads/master.zip,https://tensorflow.org
linux,torvalds,torvalds/linux,User,Linux kernel source tree,,2011-09-04T22:48:12Z,5361711,master,fd0584d220fe285dc45be43eede55df89ad6a3d9,54542,184920,7783,other,Other,NOASSERTION,,C,0.9827673120076068,0.00012841699541985086,0.0020098761099662326,0.0,0.0,0.0,0.0,0.0,0.9828957290030267,0.0020098761099662326,1318504.2900390625,https://github.com/torvalds/linux,git://github.com/torvalds/linux.git,git@github.com:torvalds/linux.git,https://github.com/torvalds/linux.git,https://github.com/torvalds/linux/archive/refs/heads/master.zip,
react-native,facebook,facebook/react-native,Organization,A framework for building native applications using React,"android,app-framework,cross-platform,ios,mobile,mobile-development,react,react-native",2015-01-09T18:10:16Z,900286,main,85bdd75828f85230aaa90ed510666457c46f996c,24390,119886,3591,mit,MIT License,MIT,https://api.github.com/licenses/mit,C++,0.003779884746131698,0.29743715556554184,0.0,0.00718875731500047,0.0,0.0,0.0,0.0,0.3012170403116735,0.00718875731500047,15090.1591796875,https://github.com/facebook/react-native,git://github.com/facebook/react-native.git,git@github.com:facebook/react-native.git,https://github.com/facebook/react-native.git,https://github.com/facebook/react-native/archive/refs/heads/main.zip,https://reactnative.dev
scrcpy,Genymobile,Genymobile/scrcpy,Organization,Display and control your Android device,"android,c,ffmpeg,libav,mirroring,recording,screen,sdl2",2017-11-21T18:00:27Z,6854,master,5ae01749bf4fad9fb4d8bf7c879dc60f479c1013,10937,115072,1264,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,C,0.6366228618400909,0.0,0.0,0.0,0.0,0.007271346658011845,0.0,0.0,0.6366228618400909,0.007271346658011845,1355.5185546875,https://github.com/Genymobile/scrcpy,git://github.com/Genymobile/scrcpy.git,git@github.com:Genymobile/scrcpy.git,https://github.com/Genymobile/scrcpy.git,https://github.com/Genymobile/scrcpy/archive/refs/heads/master.zip,
electron,electron,electron/electron,Organization,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS","c-plus-plus,chrome,css,electron,html,javascript,nodejs,v8,works-with-codespaces",2013-04-12T01:47:36Z,160825,main,2745771a22dc7aec4364fec758804e0b7f230357,15668,114932,2832,mit,MIT License,MIT,https://api.github.com/licenses/mit,C++,0.00036808352517999536,0.5632266094608485,0.0,0.0,0.0,0.0,0.0,0.0,0.5635946929860285,0.0,6558.4638671875,https://github.com/electron/electron,git://github.com/electron/electron.git,git@github.com:electron/electron.git,https://github.com/electron/electron.git,https://github.com/electron/electron/archive/refs/heads/main.zip,https://electronjs.org
terminal,microsoft,microsoft/terminal,Organization,"The new Windows Terminal and the original Windows console host, all in the same place!","cmd,command-line,console,contributions-welcome,good-first-issue,hacktoberfest,terminal,windows,windows-console,windows-terminal,wsl",2017-08-11T18:38:22Z,149794,main,8598ed78d58cf6b10372fca4132bfa9553ac6735,8373,96210,1315,mit,MIT License,MIT,https://api.github.com/licenses/mit,C++,0.018458956898891477,0.9223779750009838,0.0,0.0,0.0,0.0,0.0,0.0,0.9408369318998754,0.0,12456.583984375,https://github.com/microsoft/terminal,git://github.com/microsoft/terminal.git,git@github.com:microsoft/terminal.git,https://github.com/microsoft/terminal.git,https://github.com/microsoft/terminal/archive/refs/heads/main.zip,
godot,godotengine,godotengine/godot,Organization,Godot Engine – Multi-platform 2D and 3D game engine,"game-development,game-engine,gamedev,godot,godotengine,multi-platform,open-source",2014-01-04T16:05:36Z,1457400,master,99a8ab795d65e816ea7c452aa0fb55d02385c048,21376,92206,1506,mit,MIT License,MIT,https://api.github.com/licenses/mit,C++,0.023901562329645517,0.8554495231142907,0.0,1.4026003020683712e-05,0.0,0.0,0.0,0.0,0.8793510854439361,1.4026003020683712e-05,60782.751953125,https://github.com/godotengine/godot,git://github.com/godotengine/godot.git,git@github.com:godotengine/godot.git,https://github.com/godotengine/godot.git,https://github.com/godotengine/godot/archive/refs/heads/master.zip,https://godotengine.org
bitcoin,bitcoin,bitcoin/bitcoin,Organization,Bitcoin Core integration/staging tree,"bitcoin,c-plus-plus,cryptocurrency,cryptography,p2p",2010-12-19T15:16:43Z,273700,master,9355578a77978a0c2f189bd7315a2883142d8119,36432,80880,4028,mit,MIT License,MIT,https://api.github.com/licenses/mit,C++,0.11535149920912698,0.6464160769833388,0.004706378538683889,0.011557377423664056,0.0,0.0,0.0,1.8993478101623425e-05,0.7617675761924657,0.01628274944044957,19023.7998046875,https://github.com/bitcoin/bitcoin,git://github.com/bitcoin/bitcoin.git,git@github.com:bitcoin/bitcoin.git,https://github.com/bitcoin/bitcoin.git,https://github.com/bitcoin/bitcoin/archive/refs/heads/master.zip,https://bitcoincore.org/en/download
opencv,opencv,opencv/opencv,Organization,Open Source Computer Vision Library,"c-plus-plus,computer-vision,deep-learning,image-processing,opencv",2012-07-19T09:40:17Z,542375,4.x,94bccbecc047a4e8cecbb31866849dd1e860dac5,55900,79812,2653,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,C++,0.033435973750289845,0.8677027900211182,0.0,0.021411894600134325,0.0,0.0,0.0,0.0,0.901138763771408,0.021411894600134325,44933.6806640625,https://github.com/opencv/opencv,git://github.com/opencv/opencv.git,git@github.com:opencv/opencv.git,https://github.com/opencv/opencv.git,https://github.com/opencv/opencv/archive/refs/heads/4.x.zip,https://opencv.org
netdata,netdata,netdata/netdata,Organization,"Architected for speed. Automated for easy. Monitoring and troubleshooting, transformed!","alerting,cncf,data-visualization,database,devops,docker,grafana,influxdb,kubernetes,linux,machine-learning,mongodb,monitoring,mysql,netdata,observability,postgresql,prometheus,raspberry-pi,statsd",2013-06-17T18:39:10Z,224263,master,fba8924a69a5c503fd6cb3456ee4a16107fe06f5,5981,72751,1365,gpl-3.0,GNU General Public License v3.0,GPL-3.0,https://api.github.com/licenses/gpl-3.0,C,0.6749146505522751,0.014651207653951689,5.179313790379608e-05,0.006656161590221067,0.0,0.0,0.0,0.0,0.6895658582062267,0.006707954728124864,32185.580078125,https://github.com/netdata/netdata,git://github.com/netdata/netdata.git,git@github.com:netdata/netdata.git,https://github.com/netdata/netdata.git,https://github.com/netdata/netdata/archive/refs/heads/master.zip,https://www.netdata.cloud
